district,num_posts,city
Huyện Bình Chánh,236,Hồ Chí Minh
Huyện Cần Giờ,1,Hồ Chí Minh
Huyện Củ Chi,165,Hồ Chí Minh
Huyện Hóc Môn,170,Hồ Chí Minh
Huyện Nhà Bè,54,Hồ Chí Minh
Quận 1,132,Hồ Chí Minh
Quận 10,146,Hồ Chí Minh
Quận 11,100,Hồ Chí Minh
Quận 12,592,Hồ Chí Minh
Quận 3,84,Hồ Chí Minh
Quận 4,56,Hồ Chí Minh
Quận 5,75,Hồ Chí Minh
Quận 6,101,Hồ Chí Minh
Quận 7,810,Hồ Chí Minh
Quận 8,314,Hồ Chí Minh
Quận Bình Thạnh,384,Hồ Chí Minh
Quận Bình Tân,520,Hồ Chí Minh
Quận Gò Vấp,542,Hồ Chí Minh
Quận Phú Nhuận,112,Hồ Chí Minh
Quận Tân Bình,495,Hồ Chí Minh
Quận Tân Phú,519,Hồ Chí Minh
Thành phố Thủ Đức,1878,Hồ Chí Minh
