brand,mean_km,num_posts
Acura,101432.0,22
Alfa Romeo,293956.0,3
Asia,38933.333333333336,3
Aston Martin,110941.0,2
Audi,72002.1048951049,143
BMW,73356.5038961039,385
BYD,164327.0,2
Baic,53600.0,10
Bentley,65248.769230769234,13
Buick,55500.0,2
Cadillac,281713.8,5
Changan,100000.0,1
Chery,366426.0,4
Chevrolet,92936.316,750
Chrysler,78000.0,3
Citroen,12305.5,2
Daewoo,127149.44862155388,399
Daihatsu,66462.27272727272,22
Dodge,106500.0,4
Ferrari,98333.33333333333,3
Fiat,163801.69444444444,36
Ford,79799.98106995884,2430
Gaz,1.0,1
Geely,123.0,1
Haima,6894.5,2
Hãng khác,97482.48091603053,131
Honda,60317.447735191636,1148
Hyundai,69755.09144834404,2023
Infiniti,76833.33333333333,6
Isuzu,98380.42446043165,139
Jaguar,62640.0,8
Jeep,142510.70588235295,17
Kia,73909.46796796797,1998
Lada,35000.0,1
Lamborghini,7575.0,2
LandRover,58636.06122448979,98
Lexus,62972.35331230284,317
Lifan,40353.666666666664,6
Lincoln,37084.0,2
Luxgen,76045.22222222222,9
MG,28569.266666666666,30
Maserati,34333.333333333336,3
Maybach,80.0,1
Mazda,65899.93918918919,1332
Mekong,112887.33333333333,9
Mercedes Benz,60832.9455103607,1303
Mini,54666.666666666664,6
Mitsubishi,70711.70961887477,1102
Nissan,89774.16896551724,290
Opel,110000.0,1
Peugeot,46513.06329113924,158
Pontiac,40000.0,1
Porsche,43072.096774193546,93
Proton,54999.5,2
RAM,57000.0,2
Renault,70000.0,1
Rolls Royce,39800.0,1
Rover,54500.0,2
SYM,134803.8,5
Samsung,89422.5,2
Smart,111728.0,2
Ssangyong,146095.96774193548,31
Subaru,40935.333333333336,15
Suzuki,76651.471875,320
Toyota,84455.14575087311,4295
UAZ,999999.0,1
Vinfast,31412.83870967742,372
Volkswagen,54716.181818181816,44
Volvo,32843.67346938775,49
Zotye,31192.666666666668,3
